Core Temperatures (avg) [°C],CPU Core [°C],CPU Package Power [W],Total CPU Utility [%],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Power [W],GPU Utilization [%],GPU Memory Usage [%],Physical Memory Load [%],Virtual Memory Load [%],Charge Level [%],Wear Level [%],GPU Bus Load [%],Framerate Displayed (avg) [FPS],Frame Time Presented (avg) [ms]
42.2,43.2,6.903,2.7,43.0,47.1,15.898,0,14.1,27.7,37.8,97,9,0,16.0,61.4
42.6,44.2,8.416,5.3,43.0,46.9,16.738,0,14.2,27.9,38.0,97,9,3,17.7,56.01
42.0,43.1,6.242,2.1,43.1,47.0,15.68,0,14.2,27.9,37.9,97,9,0,11.4,56.08
42.2,43.5,7.188,3.8,42.9,46.8,16.599,0,14.2,27.8,37.9,97,9,0,19.0,53.16
42.9,44.4,9.768,7.5,42.9,46.8,17.111,0,14.5,28.0,38.6,97,9,0,55.2,18.12
44.2,46.6,12.743,7.8,43.0,48.8,36.655,0,15.9,28.1,38.7,97,9,0,37.5,22.08
44.2,46.2,13.033,8.9,43.8,47.8,32.627,0,14.9,28.3,39.1,97,9,0,41.2,24.05
48.4,55.3,24.375,18.0,43.7,47.3,18.733,0,15.0,28.7,39.4,97,9,0,37.6,26.51
50.2,54.5,25.608,22.3,45.1,49.6,37.196,0,15.9,29.1,40.1,97,9,0,43.3,22.83
48.2,52.2,22.871,13.3,46.3,48.8,36.595,0,16.7,29.4,40.5,97,9,0,121.7,7.89
47.1,52.0,16.747,10.5,45.7,48.3,19.739,0,15.6,29.5,40.5,97,9,0,121.7,7.89
44.1,45.3,9.577,5.5,45.6,48.2,18.87,0,15.2,29.5,40.3,97,9,0,24.8,34.28
43.9,45.1,9.319,5.2,44.5,47.9,18.189,0,15.1,29.4,40.0,97,9,0,24.9,37.5
44.1,45.3,10.25,6.8,44.3,48.1,18.149,0,15.1,29.4,40.0,97,9,0,25.0,38.96
43.7,44.8,9.22,5.0,44.3,48.0,18.127,0,15.0,29.3,39.9,97,9,0,25.0,39.56
43.5,44.6,8.701,4.5,44.1,47.8,18.133,0,15.0,29.3,39.9,97,9,0,25.0,39.82
43.7,44.9,9.627,5.9,44.0,48.0,18.097,0,15.0,29.2,39.8,97,9,0,25.0,39.93
43.6,44.9,8.782,5.8,44.0,47.9,18.111,0,15.0,29.3,39.8,97,9,0,25.2,39.6
43.2,44.3,8.264,4.4,44.0,47.7,18.2,0,15.0,29.2,39.8,97,9,0,25.1,39.8
43.2,44.3,8.147,4.4,43.8,47.8,18.063,0,15.0,29.2,39.8,97,9,0,25.0,39.88
42.9,44.1,7.534,3.6,43.8,47.7,18.16,0,15.0,29.2,39.8,97,9,0,25.0,39.93
44.3,46.7,11.985,11.3,43.7,47.8,19.395,0,16.4,29.3,40.2,97,9,0,83.6,12.07
48.1,52.4,22.033,27.2,43.9,47.9,19.389,0,16.0,29.6,40.6,97,9,0,78.8,12.61
49.2,52.9,22.521,18.5,45.0,48.0,21.834,0,16.5,29.6,40.6,97,9,0,162.7,6.15
44.3,45.6,9.919,7.1,46.0,47.8,20.009,0,16.0,29.4,40.4,97,9,0,162.5,6.15
44.2,45.7,10.251,8.5,44.4,48.0,19.08,0,16.0,29.1,40.1,97,9,0,164.5,6.08
44.5,46.6,10.744,7.4,44.2,47.9,19.142,0,16.0,29.1,39.9,97,9,0,165.0,6.06
43.4,44.9,8.075,5.1,44.3,47.8,19.101,0,16.0,29.0,39.8,97,9,0,165.0,6.06
47.1,51.4,19.708,16.4,43.9,48.9,23.781,0,16.1,29.2,40.1,97,9,0,163.9,6.1
50.9,55.6,26.554,20.8,44.8,50.2,37.711,0,16.2,29.4,40.4,97,9,0,165.0,6.06
44.5,46.0,9.507,5.3,46.6,48.4,20.267,0,16.2,29.4,40.4,97,9,0,165.0,6.06
44.9,47.0,11.528,9.7,44.8,48.6,19.394,0,16.5,29.4,40.6,97,9,0,163.0,6.13
